产品,问题,正确答案,RAG答案,是否准确
平安守护尊享成人意外险,该产品的最高投保年龄是多少？,"根据产品文档信息，平安守护尊享成人意外险的最高投保年龄为：首次投保年龄不超过75周岁（含），续保年龄不超过80周岁（含）。

[参考文档块：块3]","根据平安守护尊享成人意外险条款第二条，该产品的最高投保年龄为：
- 首次投保年龄不超过75周岁（含）
- 续保年龄不超过80周岁（含）",准确
平安守护尊享成人意外险,续保时年龄限制会放宽吗？,"根据产品文档信息，平安守护尊享成人意外险的续保年龄限制为不超过80周岁（含）。首次投保年龄限制为不超过75周岁（含）。续保时年龄限制不会放宽，最高仍为80周岁。

[参考文档块：块3]","根据平安守护尊享成人意外险条款第二条明确规定：
""本保险合同的被保险人应为身体健康，能正常工作或生活的，首次投保年龄不超过七十五周岁（含）、续保不超过八十周岁（含）的自然人。""

因此，续保时的年龄限制不会放宽，最高续保年龄为80周岁（含）。超过此年龄将无法继续续保该产品。",准确
平安守护尊享成人意外险,分期付款如果忘记缴费会有什么后果？,"根据产品文档信息，如果分期付款忘记缴费，将有以下后果：

1. 在未按时缴费后，保险人会发出催告，投保人有30天的宽限期补交保费。在这30天内如果发生保险事故，保险人仍会按约定给付保险金，但会从保险金中扣除欠缴的保费。

2. 如果超过30天宽限期仍未补交保费，保险合同自当期保费应付之日起终止，此后发生的保险事故保险人不再承担保险责任。

[参考文档块：块1, 块2]","根据平安守护尊享成人意外险的相关条款，分期付款忘记缴费的后果如下：

1. **宽限期保障**：忘记缴费后，保险公司会发出催告，投保人有30天的宽限期补缴保费。在此期间若发生保险事故，保险公司仍按合同约定给付保险金，但会从保险金中扣除欠缴的保费。

2. **合同终止**：若在30天宽限期内仍未补缴保费，保险合同自当期保费应付之日起终止。合同终止后发生的保险事故，保险公司不承担保险责任。

3. **无现金价值退还**：该意外险属于短期保险，通常不具现金价值，因此合同终止后一般不会退还保费或现金价值。

建议按时缴费以确保保障持续有效。如有特殊情况无法及时缴费，请务必在宽限期内完成补缴。",准确
平安守护尊享成人意外险,猝死是否在保障范围内？,"根据产品文档信息，猝死是否在保障范围内需要区分不同险种：

1. **主险意外伤害保险**：猝死不在保障范围内。根据文档块18，责任免除条款明确将猝死列为除外责任。

2. **附加猝死保障保险**：猝死在保障范围内。根据文档块68，该附加险专门提供猝死保障，按保险单载明的""猝死保险金额""给付保险金。猝死定义为""身体急性症状发生后即刻或二十四小时内发生的死亡""。

因此，如果客户投保了平安附加猝死保障保险，猝死是在保障范围内的；如果仅投保主险意外伤害保险，猝死则不在保障范围内。

[参考文档块：块18, 块68]","根据平安守护尊享成人意外险的相关条款，猝死是在保障范围内的。

具体说明如下：

1. **猝死保障**：该产品通过""平安附加猝死保障保险""提供猝死保障。条款明确规定：""被保险人在保险期间内猝死的，按保险单载明的'猝死保险金额'给付猝死保险金。""

2. **猝死定义**：条款中对猝死的定义为""身体急性症状发生后即刻或二十四小时内发生的死亡""。

3. **保障条件**：需要注意的是，猝死保障属于可选责任，投保人需要在投保时选择附加此项保障，并在保险单中载明相应的猝死保险金额。

因此，如果投保时选择了附加猝死保障，那么猝死是在该保险的保障范围内的。建议您查看具体的保险单确认是否包含此项保障以及对应的保险金额。",部分准确
平安守护尊享成人意外险,哪些情况下保险公司不承担赔付责任？,"根据平安守护尊享成人意外险的条款，保险公司不承担赔付责任的情况主要包括以下几类：

**一、责任免除情形（主险条款）：**
1. 投保人、被保险人的故意行为
2. 被保险人自致伤害或自杀（自杀时为无民事行为能力人除外）
3. 因被保险人挑衅或故意行为导致的打斗、被袭击或被谋杀
4. 被保险人妊娠、流产、分娩、疾病、药物过敏、中暑、猝死
5. 被保险人接受整容手术及其他内、外科手术
6. 被保险人未遵医嘱，私自服用、涂用、注射药物
7. 核爆炸、核辐射或核污染
8. 被保险人犯罪或拒捕
9. 被保险人从事高风险运动或参加职业/半职业体育运动
10. 被保险人病理性骨折或被诊断为骨质疏松并因此导致的伤害
11. 被保险人投保前已有骨折
12. 被保险人没有遭受骨折伤害，因其他原因或主动进行骨密度检测

**二、特殊期间不承担责任的：**
1. 战争、军事行动、暴动或武装叛乱期间
2. 被保险人主动吸食或注射毒品期间
3. 被保险人酒后驾车、无有效驾驶证驾驶或驾驶无有效行驶证的机动车期间

**三、不承担的费用：**
1. 社会医疗保险规定的自费项目
2. 因椎间盘膨出和突出造成的医疗费用
3. 营养费、康复费、辅助器具费、整容费、美容费、修复手术费、牙齿整形费、牙齿修复费、镶牙费、护理费、交通费、伙食费、误工费、丧葬费

**四、分期支付保费相关：**
若投保人选择分期支付保费，在催告之日起30日内未补交欠费的，保险合同自应付之日起终止，终止后发生的保险事故不承担保险责任。

[参考文档块：块2, 块8, 块9, 块10, 块17, 块18, 块19, 块20]","根据平安守护尊享成人意外险的条款，保险公司在以下情况下不承担赔付责任：

### 一、因下列原因造成的损失不予赔付：
1. 投保人、被保险人的故意行为
2. 被保险人自致伤害或自杀（但自杀时为无民事行为能力人除外）
3. 因被保险人挑衅或故意行为导致的打斗、被袭击或被谋杀
4. 被保险人妊娠、流产、分娩、疾病、药物过敏、中暑、猝死
5. 被保险人未遵医嘱，私自服用、涂用、注射药物
6. 核爆炸、核辐射或核污染
7. 被保险人犯罪或拒捕
8. 被保险人从事高风险运动或参加职业/半职业体育运动
9. 被保险人违反承运人或交通安全部门关于安全乘坐的规定

### 二、在下列期间发生的损失不予赔付：
10. 战争、军事行动、暴动或武装叛乱期间
11. 被保险人主动吸食或注射毒品期间
12. 被保险人非以乘客身份置身于任何交通工具期间
13. 被保险人乘坐非商业营运的火车、轮船或汽车期间

### 三、下列费用不予赔付：
1. 保险单签发地社会医疗保险或其他公费医疗管理部门规定的自费项目（如自费药品等）
2. 因椎间盘膨出和突出造成的医疗费用
3. 营养费、康复费、辅助器具费、整容费、美容费、修复手术费、牙齿整形费、牙齿修复费、镶牙费、护理费、交通费、伙食费、误工费、丧葬费

### 四、其他重要免责事项：
- 若被保险人已从其他途径（包括基本医疗保险、公费医疗、工作单位、其他商业保险等）获得医疗费用补偿，保险人仅对剩余部分按约定赔偿
- 社会基本医疗保险个人账户部分支出视为个人支付，不属于已获得的医疗费用补偿

建议在投保前仔细阅读保险条款，如有疑问可咨询保险顾问，确保充分了解保障范围和免责条款。",不准确
平安守护尊享成人意外险,意外伤害医疗费用报销比例是多少？,"根据平安产险意外伤害保险（互联网版）条款，意外伤害医疗保险金的赔付比例为：在扣除免赔额后，按照当地社会医疗保险主管部门规定可报销的必要、合理医疗费用进行赔付。具体的免赔额和赔付比例由投保人与保险人在投保时协商确定，并在保险合同中载明。

[参考文档块：块9, 块20]","根据平安守护尊享成人意外险的条款规定，意外伤害医疗费用的报销比例为**80%**。

具体说明：
- 在扣除100元免赔额后，对剩余部分按80%比例进行赔付
- 若被保险人已从其他途径（如社保、公费医疗等）获得医疗费用补偿，保险公司仅对剩余部分按80%比例赔付
- 社会基本医疗保险个人账户支出视为个人支付，不属于已获得的医疗费用补偿

需要注意的是，投保人与保险公司也可在保险单中另行约定免赔额和赔付比例，具体以保险单载明的内容为准。",不准确
平安守护尊享成人意外险,投保后可以变更受益人吗？,"是的，投保后可以变更受益人。根据产品条款，被保险人或投保人可以变更身故保险金受益人，但需要书面通知保险人，由保险人在保险合同上批注。投保人指定或变更身故保险金受益人时，应经被保险人书面同意。

[参考文档块：块3, 块4]","根据平安守护尊享成人意外险条款规定：

**可以变更受益人**。具体规定如下：

1. **变更权限**：被保险人或投保人均可提出变更身故保险金受益人

2. **变更程序**：
   - 需以书面形式通知保险人（保险公司）
   - 由保险公司在保险合同上进行批注
   - 投保人指定或变更受益人时，必须经过被保险人书面同意

3. **特殊情形**：
   - 如果被保险人为无民事行为能力人或限制民事行为能力人，应由其监护人指定或变更受益人
   - 保险公司对因受益人变更发生的法律纠纷不承担责任

4. **其他保险责任受益人**：
   - 除身故保险金外，其他保险责任（如伤残、医疗等）的保险金受益人均为被保险人本人

**总结**：投保后可以变更身故保险金受益人，但必须按照规定的书面程序办理，且投保人变更受益人时需要获得被保险人的书面同意。",准确
平安守护尊享成人意外险,如果受益人和被保险人同时死亡，保险金归谁？,"根据产品文档信息，当受益人与被保险人在同一事件中死亡，且不能确定死亡先后顺序时，推定受益人死亡在先。此时保险金将作为被保险人的遗产，由保险人依照相关法律法规履行给付保险金的义务。

[参考文档块：块3, 块4]","根据平安守护尊享成人意外险条款规定，当受益人与被保险人在同一事件中死亡，且不能确定死亡先后顺序时，**推定受益人死亡在先**。

在这种情况下，保险金将作为被保险人的遗产，由保险人依照相关法律法规履行给付保险金的义务，通常由被保险人的法定继承人继承。

这一规定符合保险条款中明确列出的情形：
- 受益人与被保险人在同一事件中死亡，且不能确定死亡先后顺序的，推定受益人死亡在先
- 受益人先于被保险人死亡，没有其他受益人的，保险金作为被保险人的遗产",准确
平安守护尊享成人意外险,这个产品可以在线下购买吗？,"根据产品文档信息，平安守护尊享成人意外险仅限于互联网渠道销售，不提供线下购买服务。

[参考文档块：块1, 块3, 块5]","根据提供的保险条款内容，平安守护尊享成人意外险仅限于互联网渠道销售，不支持线下购买。

具体依据：
在《平安产险附加分期支付保费保险（互联网版）条款》第二条中明确规定：""本附加险合同仅限于互联网渠道销售""。

因此，该产品只能通过平安保险的官方互联网平台进行购买。",准确
平安守护尊享成人意外险,保险事故发生后需要在多长时间内报案？,"根据产品文档信息，保险事故发生后，投保人、被保险人或保险金受益人应当在四十八小时内及时通知保险人。如果因故意或重大过失未及时通知，导致保险事故的性质、原因、损失程度等难以确定的，保险人对无法确定的部分不承担给付保险金责任。

[参考文档块：块25]","根据平安守护尊享成人意外险的相关条款，关于保险事故发生后报案时间的规定如下：

**核心要求：**
- 若因急诊未在释义医院就诊的，**应在三日内通知保险人**
- 同时应根据病情及时转入释义医院

**特殊情况处理：**
- 如需转入非释义医院就诊，需向保险人提出书面申请
- 保险人在接到申请后三日内给予答复
- 经保险人同意在非释义医院就诊的，相关医疗费用可按合同约定给付

**重要说明：**
- 上述时间要求不包括因不可抗力导致的迟延
- 若保险人通过其他途径已经及时知道或应当及时知道保险事故发生的，不受上述时间限制

**建议：** 为保障您的权益，发生保险事故后请尽快通知保险公司，最迟不要超过三日，并保留好相关就诊记录和证明材料。",不准确
